video_id,query
100_pullups_pullup_f_nm_np1_fr_med_1,man in black pulling up
100_pullups_pullup_f_nm_np1_fr_med_2,a man in black is pulling up
100_pullups_pullup_u_nm_np1_fr_med_0,man in black pulling up
103_years_old_japanese_woman__Nao_is_clapping_with_piano_music_by_beethoven_clap_u_cm_np1_fr_med_1,old woman clapping her hands
103_years_old_japanese_woman__Nao_is_clapping_with_piano_music_by_beethoven_clap_u_nm_np1_fr_med_0,an old woman is clapping hands
10_Pull_Ups_pullup_f_nm_np1_fr_goo_0,a person is doing pull up
10_Pull_Ups_pullup_f_nm_np1_fr_goo_1,a man is doing pull up
10_Pull_Ups_pullup_f_nm_np1_fr_goo_2,boy pulling up at the door
11408ErikaRecurvefront_shoot_bow_u_nm_np1_fr_med_0,woman shooting bow
11408ErikaRecurvefront_shoot_bow_u_nm_np1_fr_med_1,woman shooting her bow
11_4_08ErikaRecurveBack_shoot_bow_u_nm_np1_ba_med_0,woman shooting her bow
11_4_08ErikaRecurveBack_shoot_bow_u_nm_np1_ba_med_1,woman shooting her bow
12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_0,man in black pulling up
12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_1,a person is practicing pull up
12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_2,man in black pulling up
20060723sfjffangelina_run_f_nm_np1_ri_med_2,man running on the street
20060723sfjffangelina_stand_f_nm_np1_le_med_0,a man is standing up
20060723sfjffbartsinger_wave_f_cm_np1_ba_med_0,a woman in pink dress is waving her hands
20060723sfjffjewgotmail_stand_u_cm_np1_ri_med_0,woman standing up from the bed
20060723sfjffkillerskiss_walk_f_cm_np1_fr_med_1,woman in black dress walking
20060723sfjffsomelikeitwarmed_run_f_nm_np1_fr_med_6,a man is running in the corridor
20_Marine_Corps_Pull_Ups_-_JimmyDShea_pullup_f_cm_np1_ba_bad_3,topless man in red shorts pulling up
20_Marine_Corps_Pull_Ups_-_JimmyDShea_pullup_f_cm_np1_ba_bad_4,man in red shorts pulling up
20_good_form_pullups_pullup_f_nm_np1_ri_goo_0,topless man pulling up
20_good_form_pullups_pullup_f_nm_np1_ri_goo_1,topless man pulling up
20_good_form_pullups_pullup_f_nm_np1_ri_goo_2,man in black pants pulling up
21_wave_u_nm_np1_fr_goo_5,a boy is raising his hand
22_Pull-ups_with_Speed_and_Perfect_Form_pullup_f_cm_np1_ba_med_0,topless man pulling up
22_Pull-ups_with_Speed_and_Perfect_Form_pullup_f_cm_np1_ba_med_1,a man is doing pull up
22_Pull-ups_with_Speed_and_Perfect_Form_pullup_f_cm_np1_ba_med_2,topless man pulling up
2xFullautoGlocks_shoot_gun_u_cm_np1_le_med_0,a man is shooting two pistols
30_(dead-hang)_pull-ups_pullup_u_cm_np1_ba_med_0,a top naked man is doing pull up bar exercise
