video_id,instance_id,query
--h5fAKYurM,0,the pigeon is limping
-0cOo0cRVZU,0,player in blue shirt passing a basketball on left
-0cOo0cRVZU,1,Instructor standing on the sideline
-0cOo0cRVZU,2,Guy in blue shirt is walking towards a three point line
-0cOo0cRVZU,3,man in blue shirt shooting the basketball on the right
-0cOo0cRVZU,4,player in blue shirt playing basketball
-0cOo0cRVZU,5,a red car is sitting in the basket
-0cOo0cRVZU,6,ball thrown to the right
-0cOo0cRVZU,7,basketball flying into the basket
-1L1Fm8QaK4,0,a person is climbing up a wall
-2GEt8vi2RA,0,a car is flying 
-2akYw9VucA,0,blue car is flying in the sky
-2akYw9VucA,1,car in blue standing on the grass
-2akYw9VucA,2,a white car is parked
-2akYw9VucA,3,a blue car is parked in the middle 
-2akYw9VucA,4,a blue car is flying on the air
-2akYw9VucA,5,rightmost white car parking in the back
-2vO7IbjuSE,0,the cat is chasing a laser pointer dot along the floor
-4CdF084nIs,0,the kitten is running in slow motion
-4K2hHSl7s4,0,a man with blow shirt is playing basketball
-4K2hHSl7s4,1,ball bouncing up and down
-4KMQsUaSAQ,0,a man with red shirt is climbing up
-54J_vTufjw,0,Gray goose standing on the right side
-54J_vTufjw,1,a bird on the left is swimming
-5Ilq3kFxek,0,cat jumping over the fence
-5bfNwGsWZA,0,black bird flying in the sky
-5lbSzOSfz8,0,cat walking on the road
-5lbSzOSfz8,1,Guy walking with two dogs in the park
-7AwCPcgrzA,0,German shepherd eating food from the bowl
-7EE9T3Z0qk,0,the child is crawling up onto the sofa
-7EE9T3Z0qk,1,baby girl sitting on the couch
-7e9bizUyHg,0,the bird is hopping in its enclosure
-8FLF-osZmA,0,a man is throwing a ball
-8FLF-osZmA,1,A basketball is thrown by a boy
-8FLF-osZmA,2,an orange ball is stayed in the basket on the left
-8FLF-osZmA,3,a red ball is flying on the air
-8FLF-osZmA,4,Ball flying into the basket
-8sY4FHSq7g,0,a dog holding a red ball in its mouth is running outside on the grass
-8sY4FHSq7g,1,ball is held by a dog
-An-2j9snuc,0,black dog rolling on the grass
-AyZV127fCg,0,a man with white shirt is nearby car 
-AyZV127fCg,1,Guy in black shirt standing near man in white shirt and green car
-AyZV127fCg,2,green car jumping up and down
-AyZV127fCg,3,a person in red tshirt is standing on the left
-AyZV127fCg,4,a man is standing and watching on the behind
-AyZV127fCg,5,a man in black is standing on back of the car
-AyZV127fCg,6,man in white standing between a man in black and a man in white
-AyZV127fCg,7,Green car dancing in the middle
